C,60659
H,166520
A,204417
P,44716
T,224508
E,313022
R,146889
 ,511693
I,172641
W,58929
L,96034
",",39742
N,183128
S,162129
O,191486
G,50909
D,117751
U,64918
J,2485
F,54507
M,61283
Y,45935
B,34370
.,30590
',7523
-,6225
V,26788
!,3923
?,3136
1,300
8,164
0,138
5,38
K,20281
;,1145
X,4032
:,975
(,650
),650
7,33
Z,2385
Q,2319
*,272
Ê,11
À,4
2,123
3,46
4,14
6,43
É,1
9,25
Ä,1
=,2
/,2
